Item,Context,Ingredients,Yield,Notes
Dimensional Fabricator,Vanilla 2.0,"Assembling Machine 3, 200 Processing Unit, 100 LDS, 500 Steel, 5 Each (Speed/Prod/Eff Module 3), 4 Pump, 10 Substation",1,"150MW / 8 Slots / Speed 3.0 / 50% Prod"
Dimensional Fabricator,Space-Age (SA),"Cryogenic Plant, 100 Foundation, 50 Tungsten Carbide, 100 Superconductor, 50 Supercapacitor, 50 Quantum Processor, 4 Pump",1,"150MW / 10 Slots / Speed 3.0 / 50% Prod"
Dimensional Fabricator,Space Exploration (SE),"Material Fabricator, 1 Deep Supercomputer, 1000 Advanced Neural Gel, 5 Energy Beam Injector, 5 Energy Beam Chamber, 100 Holmium Solenoid, 50 Aeroframe Scaffold, 50 Heavy Composite, 10 Naquium Processor, 4 Pump, 1 Arcolink Storage",1,"500MW / 0 Slots / Speed 4.0 / 50% Prod / Waste Byproducts"
Singularity Silo,Vanilla 2.0,"2000 Refined Concrete, 1000 Steel Plate, 500 LDS, 200 Processing Unit, 100 RCU, 50 Speed Module 3, 50 Efficiency Module 3, 10 Storage Tank, 10 Pump",1,"1000 Foundation Equivalent / 2GW Launch Spike"
Singularity Silo,Space-Age (SA),"1000 Foundation, 400 LDS, 400 Tungsten Carbide, 400 Carbon Fiber, 200 Quantum Processor, 500 Blue Chip, 100 Superconductor, 100 Supercapacitor, 50 Fusion Power Cell, 400 Cold Fluoroketone, 400 Electric Engine, 4 Pump, 4 Stack Inserter, 10 Radar",1,"2GW Launch Spike / Indigo Rift Visuals"
Singularity Silo,Space Exploration (SE),"1000 Space Platform Plating, 1 Deep Supercomputer, 1 Nexus, 100 Nanomaterial, 100 Heavy Assembly, 100 Self-healing Gel, 4 Radar Pylon, 10 Deep Space Catalogue 2, 150 Holmium Solenoid, 5 Space Warp/Dilation Data, 400 Supercooled Thermofluid",1,"2GW Launch Spike / Distortion Drive Logic"
IDBM Rocket Part,Vanilla 2.0,"1 Atomic Bomb, 10 Nuclear Fuel Cell, 10 LDS, 10 Processing Unit, 20 Lubricant, 5 Rocket Fuel",4,"Byproduct: 20 Heavy Oil"
IDBM Rocket Part,Space-Age (SA),"4 Carbon Fiber, 4 LDS, 4 Tungsten Carbide, 1 Fusion Power Cell, 1 Cold Fluoroketone Barrel (Consumed), 2 RCU, 2 Quantum Processor, 1 Promethium Chunk, 5 Rocket Fuel",12,"Base 12 / Effective 18 via 50% Prod"
IDBM Rocket Part,Space Exploration (SE),"12 Nanomaterial, 12 Heavy Composite, 12 Aeroframe Scaffold, 1 Naquium Processor, 1 Naquium Plate, 1 Antimatter Fuel Cell, 1 Naquium Tesseract, 4 RCU, 12 Supercooled Thermofluid, 30 Rocket Fuel",12,"Base 12 / Effective 18 via 50% Prod"
Targeting-Combinator,Vanilla 2.0,"1 Constant Combinator, 1 Processing Unit, 1 U-235, 1 Radar, 10 Electronic Circuit",1,"Unlocked GS 6 (32k)"
Targeting-Combinator,Space-Age (SA),"1 Constant Combinator, 1 Biter Egg, 1 Pentapod Egg, 1 Quantum Processor, 1 Radar, 10 Electronic Circuit",1,"Space-Only Crafting / Non-Spoiling Item"
Targeting-Combinator,Space Exploration (SE),"1 Constant Combinator, 10 Neural Gel, 1 Blank Data Slate, 1 Energy Catalogue 2, 10 Processing Unit, 1 Radar, 10 Electronic Circuit",1,"Space-Only Crafting / GS 6"
Dimensional Accelerator,SE Prototype,"1 Speed/Prod/Eff Module 6, 1 Atomic Bomb, 100 Nuclear Fuel Cell, 50 Advanced Neural Gel, 10 Heavy Composite, 10 Naquium Plate, 5 Multispectral Mirror, 20 Experimental Biomass, 50u Supercooled Thermofluid",1,"Prototype: -75% Speed / 5% Misfire Chance"
